X_pixels,Y_pixels
0,0
-0,1
-1,4
-2,7
-3,9
-8,8
-12,4
-15,0
-17,-1
-18,-1
-21,-2
-25,-6
-29,-7
-32,-10
-34,-7
-35,-5
-35,-1
-35,-0
-37,1
-43,-2
-49,1
-49,2
-50,7
-48,9
-46,12
-41,6
-36,5
-36,6
-33,7
-29,10
-28,19
-27,22
-30,27
-27,31
-26,32
-21,31
-19,33
-14,31
-13,30
-12,28
-11,27
-8,22
-6,26
-5,29
-4,30
3,30
10,26
11,25
14,21
18,17
21,18
22,20
22,21
23,23
30,29
32,32
31,33
31,36
30,39
29,41
28,46
28,52
22,54
20,57
14,59
13,61
10,60
9,57
4,54
3,52
3,47
5,46
8,45
12,47
16,49
19,56
22,58
24,61
24,66
26,69
28,69
36,68
39,69
42,67
45,65
47,61
48,58
50,53
50,53
50,48
